# File version 1.0
# Fields: VERSION#, TIMEZONE_NAME, FROM_YEAR, TO_YEAR
# Note: A NULL/blank for TO_YEAR means max year representable/allowed by db.
30, Asia/Singapore, 1965,
30, Asia/Oral, 1924, 1930
30, Asia/Choibalsan, 2017,
30, Asia/Atyrau, 1924, 1930
30, Europe/Madrid, 1901, 1975
30, Europe/Madrid, 1978, 1978
30, Pacific/Galapagos, 1992,
30, Pacific/Pago_Pago, 1967,
30, Pacific/Midway, 1967,
30, Asia/Dhaka, 1971,
30, Asia/Macau, 1999,
30, Japan, 1895, 1948
30, ROK, 1937, 1945
30, Asia/Ulan_Bator, 2017,
30, Singapore, 1965,
30, US/Samoa, 1967,
30, Pacific/Samoa, 1967,
29, Antarctica/Casey, 2016,
29, Asia/Gaza, 2016,
29, Asia/Hebron, 2016,
29, Europe/Rome, 1893, 1920
29, Europe/Rome, 1944, 1944
29, Europe/Rome, 1967, 1974
29, Europe/Malta, 1916, 1920
29, Europe/Malta, 1944, 1944
29, Europe/Malta, 1967, 1972
29, Europe/Istanbul, 1986, 1990
29, Europe/Istanbul, 1994, 1994
29, Pacific/Tongatapu, 2016,
29, Europe/Vatican, 1893, 1920
29, Europe/Vatican, 1944, 1944
29, Europe/Vatican, 1967, 1974
29, Turkey, 1986, 1990
29, Turkey, 1994, 1994
29, Europe/San_Marino, 1893, 1920
29, Europe/San_Marino, 1944, 1944
29, Europe/San_Marino, 1967, 1974
29, Asia/Istanbul, 1986, 1990
29, Asia/Istanbul, 1994, 1994
28, America/Santa_Isabel, 1954, 1960
28, America/Los_Angeles, 1948, 1966
28, America/Tijuana, 1954, 1960
28, Asia/Yerevan, 1991, 1991
28, Asia/Baku, 1991, 1991
28, Asia/Tbilisi, 1991, 1991
28, Asia/Ashgabat, 1991,
28, Asia/Samarkand, 1991,
28, Asia/Tashkent, 1991,
28, Asia/Sakhalin, 1937, 1945
28, Europe/Kirov, 1919, 1919
28, Europe/Ulyanovsk, 1919, 1919
28, Europe/Minsk, 2014,
28, Europe/Moscow, 1919, 1919
28, Europe/Samara, 1919, 1981
28, Europe/Istanbul, 2016,
28, Europe/Volgograd, 1925, 1981
28, US/Pacific, 1948, 1966
28, America/Ensenada, 1954, 1960
28, Asia/Ashkhabad, 1991,
28, W-SU, 1919, 1919
28, Turkey, 2016,
28, Mexico/BajaNorte, 1954, 1960
28, Asia/Istanbul, 2016,
28, US/Pacific-New, 1948, 1966
28, PST, 1948, 1966
27, Asia/Novokuznetsk, 2014,
27, Asia/Baku, 1992, 1992
27, Asia/Novosibirsk, 2016,
27, Europe/Minsk, 1992, 1992
26, Asia/Novokuznetsk, 1992, 1992
26, America/Santa_Isabel, 1800, 1800
26, America/Santa_Isabel, 2010,
26, America/Cayman, 1800,
26, America/Port-au-Prince, 2016,
26, America/Santiago, 2015,
26, America/Caracas, 2016,
26, Antarctica/Palmer, 2015,
26, Asia/Yerevan, 1992, 1992
26, Asia/Baku, 1992, 1992
26, Asia/Baku, 2016,
26, Asia/Tehran, 2038,
26, Asia/Almaty, 1991, 1993
26, Asia/Aqtobe, 1991, 1993
26, Asia/Aqtau, 1962, 1981
26, Asia/Aqtau, 1991, 1995
26, Asia/Aqtau, 2004,
26, Asia/Karachi, 2002, 2002
26, Asia/Gaza, 2016,
26, Asia/Yekaterinburg, 1992, 1992
26, Asia/Omsk, 1992, 1992
26, Asia/Novosibirsk, 1992, 1992
26, Asia/Krasnoyarsk, 1992, 1992
26, Asia/Irkutsk, 1992, 1992
26, Asia/Yakutsk, 1992, 1992
26, Asia/Vladivostok, 1992, 1992
26, Asia/Magadan, 1992, 1992
26, Asia/Magadan, 2016,
26, Asia/Kamchatka, 1992, 1992
26, Asia/Anadyr, 1992, 1992
26, Asia/Qyzylorda, 1991,
26, Asia/Oral, 1991, 1993
26, Asia/Oral, 2004,
26, Asia/Sakhalin, 1992, 1992
26, Asia/Sakhalin, 2016,
26, America/Metlakatla, 2015,
26, Asia/Hebron, 2016,
26, Asia/Khandyga, 1992, 1992
26, Asia/Ust-Nera, 1992, 1992
26, Asia/Chita, 1992, 1992
26, Asia/Chita, 2016,
26, Asia/Srednekolymsk, 1992, 1992
26, Europe/Minsk, 1992, 1992
26, Europe/Vilnius, 1989, 1991
26, Europe/Chisinau, 1990, 1991
26, Europe/Kaliningrad, 1989, 1992
26, Europe/Moscow, 1992, 1992
26, Europe/Samara, 1992, 1992
26, Europe/Volgograd, 1988, 1989
26, Europe/Volgograd, 1992, 1992
26, Pacific/Easter, 2015,
26, Chile/Continental, 2015,
26, Iran, 2038,
26, Europe/Tiraspol, 1990, 1991
26, W-SU, 1992, 1992
26, Chile/EasterIsland, 2015,
25, Africa/Casablanca, 2015, 2025
25, Africa/Casablanca, 2035, 2037
25, Africa/El_Aaiun, 2015, 2025
25, Africa/El_Aaiun, 2035, 2037
25, America/Whitehorse, 1966, 1967
25, America/Cayman, 1800,
25, America/Montevideo, 2015,
25, Asia/Pyongyang, 2015,
25, Europe/Chisinau, 1997,
25, Europe/Istanbul, 2015, 2015
25, Pacific/Fiji, 2016, 2017
25, Pacific/Fiji, 2021, 2023
25, Pacific/Fiji, 2027, 2028
25, Pacific/Fiji, 2033, 2034
25, Pacific/Fiji, 2038,
25, Pacific/Norfolk, 1974,
25, Canada/Yukon, 1966, 1967
25, Europe/Tiraspol, 1997,
25, Turkey, 2015, 2015
25, Asia/Istanbul, 2015, 2015
25, Africa/Casablanca, 2015, 2025
25, Africa/Casablanca, 2035, 2037
25, Africa/El_Aaiun, 2015, 2025
25, Africa/El_Aaiun, 2035, 2037
25, America/Whitehorse, 1966, 1967
25, America/Cayman, 1800,
25, America/Montevideo, 2015,
25, Asia/Pyongyang, 2015,
25, Europe/Chisinau, 1997,
25, Europe/Istanbul, 2015, 2015
25, Pacific/Fiji, 2016, 2017
25, Pacific/Fiji, 2021, 2023
25, Pacific/Fiji, 2027, 2028
25, Pacific/Fiji, 2033, 2034
25, Pacific/Fiji, 2038,
25, Pacific/Norfolk, 1974,
25, Canada/Yukon, 1966, 1967
25, Europe/Tiraspol, 1997,
25, Turkey, 2015, 2015
25, Asia/Istanbul, 2015, 2015
24, Africa/Luanda, 1800,
24, Africa/Porto-Novo, 1800,
24, Africa/Gaborone, 1800,
24, Africa/Bujumbura, 1800,
24, Africa/Douala, 1800,
24, Africa/Bangui, 1800,
24, Africa/Kinshasa, 1800,
24, Africa/Lubumbashi, 1800,
24, Africa/Brazzaville, 1800,
24, Africa/Djibouti, 1800,
24, Africa/Cairo, 2015,
24, Africa/Malabo, 1800,
24, Africa/Asmara, 1800,
24, Africa/Addis_Ababa, 1800,
24, Africa/Libreville, 1800,
24, Africa/Bissau, 1911,
24, Africa/Maseru, 1800,
24, Africa/Blantyre, 1800,
24, Africa/Niamey, 1800,
24, Africa/Kigali, 1800,
24, Africa/Mogadishu, 1800,
24, Africa/Mbabane, 1800,
24, Africa/Dar_es_Salaam, 1800,
24, Africa/Kampala, 1800,
24, Africa/Lusaka, 1800,
24, Africa/Harare, 1800,
24, Asia/Novokuznetsk, 1920, 1924
24, America/Montreal, 1800, 1940
24, America/Montreal, 1947, 1950
24, America/Cancun, 2015,
24, America/Antigua, 1800,
24, America/Cayman, 1800,
24, America/Jamaica, 1974, 1974
24, America/Grand_Turk, 2015,
24, America/Santiago, 1910, 1918
24, America/Santiago, 1932, 1947
24, America/Santiago, 1988, 1990
24, America/Santiago, 2015,
24, Antarctica/Palmer, 1988, 1990
24, Antarctica/Palmer, 2015,
24, Asia/Bahrain, 1800,
24, Asia/Dacca, 2009,
24, Asia/Phnom_Penh, 1800,
24, Asia/Tbilisi, 1800, 1924
24, Asia/Seoul, 1889,
24, Asia/Pyongyang, 1889,
24, Asia/Kuwait, 1800,
24, Asia/Vientiane, 1800,
24, Asia/Hovd, 2015,
24, Asia/Ulaanbaatar, 2015,
24, Asia/Muscat, 1800,
24, Asia/Gaza, 2014,
24, Asia/Samarkand, 1800, 1924
24, Asia/Saigon, 1906,
24, Asia/Aden, 1800,
24, Asia/Yekaterinburg, 1916, 1930
24, Asia/Omsk, 1800, 1919
24, Asia/Krasnoyarsk, 1800, 1920
24, Asia/Irkutsk, 1800, 1920
24, Asia/Yakutsk, 1800, 1919
24, Asia/Vladivostok, 1800, 1922
24, Asia/Choibalsan, 2015,
24, Asia/Hebron, 2014,
24, Atlantic/Reykjavik, 1800, 1908
24, Atlantic/Reykjavik, 1919, 1939
24, Atlantic/Azores, 1911, 1912
24, Atlantic/Madeira, 1911, 1912
24, Europe/Minsk, 2014,
24, Europe/Riga, 1800, 1926
24, Europe/Lisbon, 1800, 1912
24, Europe/Samara, 1800, 1919
24, Indian/Antananarivo, 1800,
24, Indian/Comoro, 1800,
24, Indian/Mayotte, 1800,
24, Pacific/Easter, 1800, 1968
24, Pacific/Easter, 1988, 1990
24, Pacific/Easter, 2015,
24, Pacific/Fiji, 2014,
24, Pacific/Saipan, 1800,
24, Pacific/Midway, 1800,
24, Egypt, 2015,
24, Africa/Asmera, 1800,
24, Canada/Eastern, 1800, 1940
24, Canada/Eastern, 1947, 1950
24, Jamaica, 1974, 1974
24, Chile/Continental, 1910, 1918
24, Chile/Continental, 1932, 1947
24, Chile/Continental, 1988, 1990
24, Chile/Continental, 2015,
24, Asia/Dhaka, 2009,
24, ROK, 1889,
24, Asia/Ulan_Bator, 2015,
24, Asia/Ho_Chi_Minh, 1906,
24, Iceland, 1800, 1908
24, Iceland, 1919, 1939
24, Portugal, 1800, 1912
24, Chile/EasterIsland, 1800, 1968
24, Chile/EasterIsland, 1988, 1990
24, Chile/EasterIsland, 2015,
24, Africa/Luanda, 1800,
24, Africa/Porto-Novo, 1800,
24, Africa/Gaborone, 1800,
24, Africa/Bujumbura, 1800,
24, Africa/Douala, 1800,
24, Africa/Bangui, 1800,
24, Africa/Kinshasa, 1800,
24, Africa/Lubumbashi, 1800,
24, Africa/Brazzaville, 1800,
24, Africa/Djibouti, 1800,
24, Africa/Cairo, 2015,
24, Africa/Malabo, 1800,
24, Africa/Asmara, 1800,
24, Africa/Addis_Ababa, 1800,
24, Africa/Libreville, 1800,
24, Africa/Bissau, 1911,
24, Africa/Maseru, 1800,
24, Africa/Blantyre, 1800,
24, Africa/Niamey, 1800,
24, Africa/Kigali, 1800,
24, Africa/Mogadishu, 1800,
24, Africa/Mbabane, 1800,
24, Africa/Dar_es_Salaam, 1800,
24, Africa/Kampala, 1800,
24, Africa/Lusaka, 1800,
24, Africa/Harare, 1800,
24, Asia/Novokuznetsk, 1920, 1924
24, America/Montreal, 1800, 1940
24, America/Montreal, 1947, 1950
24, America/Cancun, 2015,
24, America/Antigua, 1800,
24, America/Cayman, 1800,
24, America/Jamaica, 1974, 1974
24, America/Grand_Turk, 2015,
24, America/Santiago, 1910, 1918
24, America/Santiago, 1932, 1947
24, America/Santiago, 1988, 1990
24, America/Santiago, 2015,
24, Antarctica/Palmer, 1988, 1990
24, Antarctica/Palmer, 2015,
24, Asia/Bahrain, 1800,
24, Asia/Dacca, 2009,
24, Asia/Phnom_Penh, 1800,
24, Asia/Tbilisi, 1800, 1924
24, Asia/Seoul, 1889,
24, Asia/Pyongyang, 1889,
24, Asia/Kuwait, 1800,
24, Asia/Vientiane, 1800,
24, Asia/Hovd, 2015,
24, Asia/Ulaanbaatar, 2015,
24, Asia/Muscat, 1800,
24, Asia/Gaza, 2014,
24, Asia/Samarkand, 1800, 1924
24, Asia/Saigon, 1906,
24, Asia/Aden, 1800,
24, Asia/Yekaterinburg, 1916, 1930
24, Asia/Omsk, 1800, 1919
24, Asia/Krasnoyarsk, 1800, 1920
24, Asia/Irkutsk, 1800, 1920
24, Asia/Yakutsk, 1800, 1919
24, Asia/Vladivostok, 1800, 1922
24, Asia/Choibalsan, 2015,
24, Asia/Hebron, 2014,
24, Atlantic/Reykjavik, 1800, 1908
24, Atlantic/Reykjavik, 1919, 1939
24, Atlantic/Azores, 1911, 1912
24, Atlantic/Madeira, 1911, 1912
24, Europe/Minsk, 2014,
24, Europe/Riga, 1800, 1926
24, Europe/Lisbon, 1800, 1912
24, Europe/Samara, 1800, 1919
24, Indian/Antananarivo, 1800,
24, Indian/Comoro, 1800,
24, Indian/Mayotte, 1800,
24, Pacific/Easter, 1800, 1968
24, Pacific/Easter, 1988, 1990
24, Pacific/Easter, 2015,
24, Pacific/Fiji, 2014,
24, Pacific/Saipan, 1800,
24, Pacific/Midway, 1800,
24, Egypt, 2015,
24, Africa/Asmera, 1800,
24, Canada/Eastern, 1800, 1940
24, Canada/Eastern, 1947, 1950
24, Jamaica, 1974, 1974
24, Chile/Continental, 1910, 1918
24, Chile/Continental, 1932, 1947
24, Chile/Continental, 1988, 1990
24, Chile/Continental, 2015,
24, Asia/Dhaka, 2009,
24, ROK, 1889,
24, Asia/Ulan_Bator, 2015,
24, Asia/Ho_Chi_Minh, 1906,
24, Iceland, 1800, 1908
24, Iceland, 1919, 1939
24, Portugal, 1800, 1912
24, Chile/EasterIsland, 1800, 1968
24, Chile/EasterIsland, 1988, 1990
24, Chile/EasterIsland, 2015,
23, Africa/Ouagadougou, 1800,
23, Africa/Cairo, 2014, 2022
23, Africa/Banjul, 1800,
23, Africa/Accra, 1920, 1936
23, Africa/Conakry, 1800,
23, Africa/Bamako, 1800,
23, Africa/Nouakchott, 1800,
23, Africa/Casablanca, 2014, 2025
23, Africa/Casablanca, 2035, 2038
23, Africa/El_Aaiun, 2014, 2025
23, Africa/El_Aaiun, 2035, 2038
23, Africa/Sao_Tome, 1800,
23, Africa/Dakar, 1800,
23, Africa/Freetown, 1800,
23, Africa/Lome, 1800,
23, Asia/Novokuznetsk, 2014,
23, Asia/Harbin, 1800, 1986
23, Asia/Shanghai, 1800, 1927
23, Asia/Chungking, 1800, 1980
23, Asia/Urumqi, 1980,
23, Asia/Kashgar, 1800,
23, Asia/Taipei, 1937, 1947
23, Asia/Taipei, 1979,
23, Asia/Tbilisi, 1800, 1924
23, Asia/Tokyo, 1937, 1937
23, Asia/Seoul, 1937, 1954
23, Asia/Pyongyang, 1937,
23, Asia/Riyadh, 1947,
23, Asia/Tashkent, 1800, 1924
23, Asia/Yekaterinburg, 1800, 1919
23, Asia/Yekaterinburg, 2014,
23, Asia/Omsk, 2014,
23, Asia/Novosibirsk, 2014,
23, Asia/Krasnoyarsk, 2014,
23, Asia/Irkutsk, 1800, 1920
23, Asia/Irkutsk, 2014,
23, Asia/Yakutsk, 2014,
23, Asia/Vladivostok, 1800, 1922
23, Asia/Vladivostok, 2014,
23, Asia/Magadan, 2014,
23, Asia/Sakhalin, 1937, 1937
23, Asia/Sakhalin, 2014,
23, Atlantic/St_Helena, 1800,
23, Europe/Helsinki, 1800, 1942
23, Europe/Budapest, 1918, 1941
23, Europe/Budapest, 1945, 1945
23, Europe/Riga, 1800, 1926
23, Europe/Kaliningrad, 2014,
23, Europe/Moscow, 1800, 1919
23, Europe/Moscow, 2014,
23, Europe/Simferopol, 2014,
23, Europe/Volgograd, 2014,
23, Pacific/Chatham, 1868, 1956
23, Pacific/Pago_Pago, 1911,
23, Egypt, 2014, 2022
23, Africa/Timbuktu, 1800,
23, PRC, 1800, 1927
23, Asia/Chongqing, 1800, 1980
23, ROC, 1937, 1947
23, ROC, 1979,
23, Japan, 1937, 1937
23, ROK, 1937, 1954
23, Europe/Mariehamn, 1800, 1942
23, W-SU, 1800, 1919
23, W-SU, 2014,
23, NZ-CHAT, 1868, 1956
23, US/Samoa, 1911,
23, Pacific/Samoa, 1911,
22, Africa/Cairo, 2014,
22, Africa/Tripoli, 2013,
22, Africa/Casablanca, 2013,
22, Africa/El_Aaiun, 1976,
22, America/Havana, 2004, 2004
22, America/Araguaina, 2013,
22, America/Porto_Acre, 2013,
22, America/Eirunepe, 2013,
22, Asia/Jerusalem, 1988, 1988
22, Asia/Amman, 2013, 2013
22, Asia/Gaza, 1988, 1988
22, Asia/Gaza, 2013,
22, Asia/Hebron, 1988, 1988
22, Asia/Hebron, 2013,
22, Europe/Istanbul, 2014, 2014
22, Europe/Kiev, 1990, 1992
22, Europe/Simferopol, 2014,
22, Pacific/Fiji, 2014,
22, Egypt, 2014,
22, Libya, 2013,
22, Cuba, 2004, 2004
22, Brazil/Acre, 2013,
22, Asia/Tel_Aviv, 1988, 1988
22, Turkey, 2014, 2014
22, America/Rio_Branco, 2013,
22, Israel, 1988, 1988
22, Asia/Istanbul, 2014, 2014
21, Africa/Casablanca, 2013, 2013
21, America/Argentina/San_Luis, 2009,
21, America/Anguilla, 1800,
21, America/Cayman, 1890,
21, America/Dominica, 1800,
21, America/Grenada, 1800,
21, America/Guadeloupe, 1800,
21, America/Jamaica, 1800, 1912
21, America/Montserrat, 1800,
21, America/St_Kitts, 1800,
21, America/St_Lucia, 1800,
21, America/St_Vincent, 1800,
21, America/Grand_Turk, 1890, 1912
21, America/Tortola, 1800,
21, America/St_Thomas, 1800,
21, America/Aruba, 1800,
21, Antarctica/McMurdo, 1800, 1956
21, Asia/Jerusalem, 1800, 1879
21, Asia/Jerusalem, 2013,
21, Africa/Juba, 1800, 1930
21, Europe/Busingen, 1848, 1894
21, Europe/Vaduz, 1800, 1981
21, Europe/Zurich, 1848, 1894
21, Pacific/Fiji, 2013, 2015
21, Pacific/Fiji, 2019, 2020
21, Pacific/Fiji, 2024, 2026
21, Pacific/Fiji, 2030, 2031
21, Pacific/Fiji, 2036, 2037
21, Pacific/Johnston, 1800,
21, America/Marigot, 1800,
21, Jamaica, 1800, 1912
21, America/Virgin, 1800,
21, Antarctica/South_Pole, 1800, 1956
21, Asia/Tel_Aviv, 1800, 1879
21, Asia/Tel_Aviv, 2013,
21, America/St_Barthelemy, 1800,
21, Israel, 1800, 1879
21, Israel, 2013,
20, Africa/Gaborone, 1884,
20, Africa/Cairo, 1800, 1900
20, Africa/Casablanca, 2013, 2022
20, Antarctica/Macquarie, 1899, 1948
20, America/Nassau, 1800, 1912
20, America/Barbados, 1800, 1932
20, America/Costa_Rica, 1800, 1921
20, America/Port-au-Prince, 2013,
20, America/Santiago, 2013,
20, America/Bogota, 1800,
20, America/Curacao, 1800,
20, America/Asuncion, 2013,
20, Antarctica/Palmer, 2013,
20, Asia/Rangoon, 1879,
20, Asia/Shanghai, 1800, 1927
20, Asia/Hong_Kong, 1800, 1904
20, Asia/Muscat, 1800,
20, Asia/Gaza, 2008,
20, Asia/Aden, 1800,
20, America/Lower_Princes, 1800,
20, America/Kralendijk, 1800,
20, Asia/Hebron, 2008,
20, Atlantic/Bermuda, 1800, 1930
20, Europe/Vienna, 1800, 1893
20, Pacific/Easter, 2013,
20, Pacific/Fiji, 1800, 1915
20, Egypt, 1800, 1900
20, Chile/Continental, 2013,
20, PRC, 1800, 1927
20, Hongkong, 1800, 1904
20, Chile/EasterIsland, 2013,
19, Africa/Tripoli, 2012,
19, Africa/Casablanca, 2012, 2012
19, America/Bahia, 2012,
19, America/Havana, 2012,
19, America/Araguaina, 2012,
19, Asia/Jerusalem, 2013,
19, Asia/Amman, 2012, 2013
19, Asia/Gaza, 2012,
19, Asia/Hebron, 2012,
19, Pacific/Fiji, 2012,
19, Pacific/Apia, 2012,
19, Pacific/Fakaofo, 1901,
19, Libya, 2012,
19, Cuba, 2012,
19, Asia/Tel_Aviv, 2013,
19, Israel, 2013,
18, Africa/Casablanca, 2012,
18, America/Bahia, 2011,
18, America/Moncton, 1918, 1918
18, America/St_Johns, 1918, 1918
18, America/Goose_Bay, 1918, 1918
18, America/Halifax, 1918, 1918
18, America/Glace_Bay, 1918, 1918
18, America/Montreal, 1918, 1918
18, America/Nipigon, 1918, 1918
18, America/Rainy_River, 1918, 1918
18, America/Winnipeg, 1918, 1918
18, America/Regina, 1918, 1918
18, America/Swift_Current, 1918, 1918
18, America/Edmonton, 1918, 1918
18, America/Vancouver, 1918, 1918
18, America/Dawson_Creek, 1918, 1918
18, America/Havana, 2011, 2012
18, America/Port-au-Prince, 2012,
18, America/Santiago, 2012, 2012
18, America/Toronto, 1918, 1918
18, America/Atikokan, 1918, 1918
18, America/Blanc-Sablon, 1918,
18, Antarctica/Casey, 2011,
18, Antarctica/Davis, 2011,
18, Antarctica/Palmer, 2008, 2012
18, Asia/Yerevan, 2012,
18, Asia/Gaza, 2008, 2008
18, Asia/Gaza, 2011,
18, Asia/Damascus, 2012,
18, America/Sitka, 1800, 1867
18, Atlantic/Stanley, 2010,
18, Europe/Minsk, 2011,
18, Pacific/Easter, 2012, 2012
18, Pacific/Fiji, 2011,
18, Pacific/Fakaofo, 2011,
18, Canada/Newfoundland, 1918, 1918
18, Canada/Atlantic, 1918, 1918
18, Canada/Eastern, 1918, 1918
18, Canada/Central, 1918, 1918
18, Canada/East-Saskatchewan, 1918, 1918
18, Canada/Mountain, 1918, 1918
18, Canada/Pacific, 1918, 1918
18, Cuba, 2011, 2012
18, Chile/Continental, 2012, 2012
18, America/Coral_Harbour, 1918, 1918
18, Chile/EasterIsland, 2012, 2012
18, Canada/Saskatchewan, 1918, 1918
17, Africa/Nairobi, 1939,
17, Africa/Dar_es_Salaam, 1947,
17, Africa/Kampala, 1947,
17, America/St_Johns, 2011,
17, America/Goose_Bay, 2011,
17, America/Resolute, 2007,
17, Asia/Yekaterinburg, 2011,
17, Asia/Omsk, 2011,
17, Asia/Novosibirsk, 2011,
17, Asia/Krasnoyarsk, 2011,
17, Asia/Irkutsk, 2011,
17, Asia/Yakutsk, 2011,
17, Asia/Vladivostok, 2011,
17, Asia/Magadan, 2011,
17, Asia/Kamchatka, 2011,
17, Asia/Anadyr, 2011,
17, Asia/Sakhalin, 2011,
17, America/Metlakatla, 1984,
17, Europe/Kaliningrad, 2011,
17, Europe/Moscow, 2011,
17, Europe/Samara, 2011,
17, Europe/Volgograd, 2011,
17, Pacific/Apia, 2011,
17, Canada/Newfoundland, 2011,
17, W-SU, 2011,
16, Africa/Cairo, 2011,
16, Africa/Casablanca, 2011,
16, America/Juneau, 1980, 1980
16, America/Havana, 2011, 2011
16, America/Santiago, 2011, 2011
16, Asia/Amman, 2002,
16, Atlantic/Stanley, 2011, 2012
16, Europe/Istanbul, 2011, 2011
16, Pacific/Honolulu, 1896,
16, Pacific/Easter, 2011, 2011
16, Pacific/Apia, 2011,
16, Egypt, 2011,
16, Cuba, 2011, 2011
16, Chile/Continental, 2011, 2011
16, Turkey, 2011, 2011
16, US/Hawaii, 1896,
16, Chile/EasterIsland, 2011, 2011
16, Asia/Istanbul, 2011, 2011
15, Africa/Cairo, 2010, 2010
15, America/Bahia_Banderas, 2010, 2010
15, Asia/Hong_Kong, 1977,
15, Asia/Amman, 2002,
15, Asia/Gaza, 2010, 2010
15, Europe/Helsinki, 1981, 1982
15, Pacific/Fiji, 2011,
15, Pacific/Apia, 2011,
15, Egypt, 2010, 2010
15, Hongkong, 1977, 1977
15, Europe/Mariehamn, 1981, 1982
14, Africa/Casablanca, 2010,
14, Africa/Tunis, 2010,
14, America/Argentina/San_Luis, 2010,
14, America/Tijuana, 2010,
14, America/Santiago, 2010, 2010
14, America/Asuncion, 2010,
14, Antarctica/Casey, 2010,
14, Antarctica/Davis, 2010,
14, Asia/Dacca, 2009,
14, Asia/Taipei, 1979,
14, Asia/Karachi, 2010,
14, Asia/Gaza, 2010,
